q1_experience	q2_country	q2_region	q3_ecosystem	q4_field	q5_organisms	q6_functions	q7_trait	q8_body_size	q9_enzymatic	q10_chla	q11_growth_form	q12_nutrient_uptake	q13_om_decomp	q14_none	q14_biological	q14_effect_response	q14_hard_soft
senior researcher	croatia	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	dont know	dont know	biological trait	dont know	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	austria	Europe	lakes reservoirs	functional eco	invertebrates	none	functional trait	structural measure	functional trait	structural measure	structural measure	structural measure	structural measure	any	biological_ecological_traits	no	no
senior researcher	france	Europe	lakes reservoirs	community eco	multiple	trophic	functional trait	biological trait	ecosystem function	ecosystem function	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	slovakia	Europe	ponds	community eco	multiple	OM decomposition	functional trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	spain	Europe	rivers	other	none	nutrients cycle	none	dont know	functional trait	biological trait	biological trait	functional trait	ecosystem function	none	no	no	no
senior researcher	italy	Europe	rivers	ecohydrology	none	multifunctionality	none	structural measure	functional trait	dont know	structural measure	functional trait	functional trait	any	biological_ecological_traits	no	no
ECR-postdoc	slovakia	Europe	rivers	community eco	invertebrates	none	ecosystem function	structural measure	functional trait	biological trait	functional trait	biological trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	uk	Europe	rivers	community eco	vertebrates	none	biological trait	biological trait	ecosystem function	biological trait	biological trait	functional trait	ecosystem function	none	no	no	no
professor	italy	Europe	ponds	community eco	microbes	multifunctionality	biological trait	biological trait	functional trait	biological trait	functional trait	biological trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	germany	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	dont know	dont know	dont know	dont know	ecosystem function	any	biological_ecological_traits	no	no
professor	germany	Europe	rivers	community eco	invertebrates	OM decomposition	biological trait	biological trait	ecosystem function	ecosystem function	ecosystem function	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
predoctoral	germany	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	switzerland	Europe	rivers	community eco	invertebrates	multifunctionality	functional trait	biological trait	functional trait	ecosystem function	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	germany	Europe	rivers	community eco	invertebrates	multifunctionality	biological trait	biological trait	dont know	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	france	Europe	rivers	functional eco	microbes	multifunctionality	functional trait	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	no	effect_response_traits	hard_soft_traits
professor	spain	Europe	wetlands	biogeochem	none	nutrients cycle	functional trait	biological trait	functional trait	biological trait	biological trait	biological trait	functional trait	any	biological_ecological_traits	no	no
professor	germany	Europe	rivers	biogeochem	none	metabolism	functional trait	biological trait	functional trait	dont know	biological trait	dont know	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	spain	Europe	rivers	biogeochem	invertebrates	none	functional trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	structural measure	any	biological_ecological_traits	no	no
predoctoral	uk	Europe	lakes reservoirs	biogeochem	microbes	none	none	structural measure	biological trait	structural measure	dont know	functional trait	functional trait	none	no	no	no
professor	portugal	Europe	wetlands	community eco	microbes	OM decomposition	ecosystem function	structural measure	functional trait	biological trait	biological trait	functional trait	functional trait	none	no	no	no
professor	usa	America	lakes reservoirs	biogeochem	invertebrates	trophic	none	biological trait	ecosystem function	structural measure	structural measure	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	usa	America	wetlands	biogeochem	macrophytes	multifunctionality	biological trait	structural measure	biological trait	functional trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	canada	America	lakes reservoirs	community eco	multiple	multifunctionality	functional trait	functional trait	ecosystem function	structural measure	biological trait	biological trait	ecosystem function	none	no	no	no
professor	germany	Europe	other	biogeochem	multiple	OM decomposition	none	biological trait	ecosystem function	structural measure	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	usa	America	lakes reservoirs	community eco	multiple	multifunctionality	functional trait	biological trait	functional trait	biological trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
predoctoral	switzerland	Europe	lakes reservoirs	biogeochem	microbes	nutrients cycle	functional trait	structural measure	ecosystem function	structural measure	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	usa	America	lakes reservoirs	biogeochem	microbes	nutrients cycle	ecosystem function	biological trait	functional trait	functional trait	functional trait	functional trait	biological trait	any	biological_ecological_traits	no	no
ECR-postdoc	usa	America	ponds	biogeochem	multiple	multifunctionality	functional trait	structural measure	biological trait	structural measure	structural measure	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	usa	America	lakes reservoirs	biogeochem	microbes	nutrients cycle	functional trait	ecosystem function	functional trait	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	argentina	America	lakes reservoirs	ecohydrology	invertebrates	multifunctionality	none	structural measure	dont know	biological trait	biological trait	ecosystem function	ecosystem function	none	no	no	no
ECR-postdoc	norway	Europe	lakes reservoirs	biogeochem	none	OM decomposition	none	structural measure	ecosystem function	functional trait	ecosystem function	functional trait	ecosystem function	none	no	no	no
ECR-postdoc	brazil	America	lakes reservoirs	biogeochem	none	multifunctionality	none	biological trait	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	canada	America	lakes reservoirs	biogeochem	microbes	nutrients cycle	none	structural measure	dont know	dont know	dont know	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	canada	America	lakes reservoirs	community eco	microbes	multifunctionality	none	biological trait	functional trait	biological trait	biological trait	biological trait	functional trait	any	biological_ecological_traits	no	no
ECR-postdoc	estonia	Europe	lakes reservoirs	biogeochem	none	metabolism	none	biological trait	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	usa	America	lakes reservoirs	biogeochem	microbes	multifunctionality	none	biological trait	biological trait	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	canada	America	lakes reservoirs	biogeochem	microbes	none	none	biological trait	ecosystem function	biological trait	biological trait	functional trait	structural measure	any	biological_ecological_traits	no	no
professor	usa	America	lakes reservoirs	biogeochem	multiple	multifunctionality	functional trait	functional trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	brazil	America	lakes reservoirs	functional eco	invertebrates	trophic	functional trait	functional trait	dont know	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	sweden	Europe	lakes reservoirs	community eco	multiple	trophic	biological trait	biological trait	functional trait	biological trait	biological trait	biological trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	usa	America	lakes reservoirs	biogeochem	microbes	metabolism	functional trait	functional trait	functional trait	functional trait	functional trait	functional trait	functional trait	any	no	effect_response_traits	no
senior researcher	canada	America	lakes reservoirs	community eco	vertebrates	multifunctionality	functional trait	functional trait	ecosystem function	structural measure	functional trait	functional trait	biological trait	any	biological_ecological_traits	no	no
professor	germany	Europe	other	other	microbes	nutrients cycle	none	dont know	dont know	dont know	dont know	dont know	dont know	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
professor	usa	America	lakes reservoirs	community eco	multiple	multifunctionality	biological trait	biological trait	biological trait	ecosystem function	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	latvia	Europe	rivers	community eco	invertebrates	trophic	functional trait	biological trait	functional trait	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	canada	America	lakes reservoirs	biogeochem	none	nutrients cycle	biological trait	structural measure	functional trait	dont know	ecosystem function	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	usa	America	rivers	biogeochem	microbes	nutrients cycle	functional trait	biological trait	functional trait	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	brazil	America	lakes reservoirs	biogeochem	none	multifunctionality	functional trait	functional trait	biological trait	biological trait	biological trait	ecosystem function	ecosystem function	none	no	no	no
professor	germany	Europe	lakes reservoirs	biogeochem	multiple	multifunctionality	functional trait	functional trait	functional trait	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
predoctoral	latvia	Europe	rivers	community eco	invertebrates	trophic	none	biological trait	functional trait	biological trait	structural measure	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
predoctoral	usa	America	lakes reservoirs	biogeochem	microbes	nutrients cycle	biological trait	biological trait	dont know	functional trait	functional trait	functional trait	ecosystem function	none	no	no	no
predoctoral	usa	America	lakes reservoirs	biogeochem	multiple	trophic	none	biological trait	dont know	structural measure	biological trait	biological trait	structural measure	any	no	effect_response_traits	no
professor	usa	America	ponds	community eco	multiple	trophic	none	structural measure	dont know	dont know	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	usa	America	lakes reservoirs	ecohydrology	microbes	multifunctionality	functional trait	functional trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	usa	America	lakes reservoirs	biogeochem	microbes	nutrients cycle	biological trait	structural measure	biological trait	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	canada	America	wetlands	other	none	multifunctionality	biological trait	structural measure	functional trait	dont know	structural measure	functional trait	ecosystem function	none	no	no	no
senior researcher	uk	Europe	lakes reservoirs	community eco	multiple	nutrients cycle	functional trait	biological trait	biological trait	functional trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	usa	America	lakes reservoirs	biogeochem	none	multifunctionality	biological trait	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	argentina	America	ponds	ecohydrology	none	multifunctionality	none	structural measure	dont know	ecosystem function	ecosystem function	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	ireland	Europe	lakes reservoirs	biogeochem	microbes	nutrients cycle	none	biological trait	functional trait	dont know	ecosystem function	ecosystem function	dont know	any	biological_ecological_traits	effect_response_traits	no
predoctoral	germany	Europe	lakes reservoirs	biogeochem	none	metabolism	biological trait	structural measure	biological trait	functional trait	functional trait	biological trait	functional trait	any	biological_ecological_traits	no	no
ECR-postdoc	usa	America	lakes reservoirs	community eco	microbes	trophic	biological trait	biological trait	ecosystem function	biological trait	biological trait	functional trait	functional trait	none	no	no	no
senior researcher	estonia	Europe	lakes reservoirs	community eco	vertebrates	trophic	none	structural measure	dont know	functional trait	biological trait	biological trait	functional trait	none	no	no	no
ECR-postdoc	ireland	Europe	other	other	none	multifunctionality	ecosystem function	biological trait	biological trait	ecosystem function	biological trait	ecosystem function	ecosystem function	none	no	no	no
senior researcher	turkey	Asia	lakes reservoirs	community eco	microbes	multifunctionality	ecosystem function	structural measure	biological trait	structural measure	functional trait	functional trait	biological trait	any	biological_ecological_traits	effect_response_traits	no
senior researcher	estonia	Europe	lakes reservoirs	biogeochem	none	metabolism	none	biological trait	dont know	functional trait	dont know	functional trait	ecosystem function	none	no	no	no
professor	brazil	America	lakes reservoirs	biogeochem	none	nutrients cycle	none	biological trait	functional trait	structural measure	biological trait	functional trait	ecosystem function	none	no	no	no
senior researcher	hungary	Europe	lakes reservoirs	other	microbes	multifunctionality	ecosystem function	ecosystem function	ecosystem function	ecosystem function	ecosystem function	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	hungary	Europe	rivers	community eco	microbes	none	functional trait	biological trait	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	hungary	Europe	lakes reservoirs	community eco	microbes	none	functional trait	functional trait	functional trait	dont know	functional trait	dont know	ecosystem function	any	biological_ecological_traits	no	no
professor	hungary	Europe	ponds	community eco	microbes	multifunctionality	biological trait	functional trait	ecosystem function	biological trait	functional trait	functional trait	functional trait	any	no	effect_response_traits	hard_soft_traits
predoctoral	portugal	Europe	rivers	ecohydrology	multiple	multifunctionality	functional trait	structural measure	biological trait	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	france	Europe	lakes reservoirs	community eco	microbes	trophic	none	biological trait	functional trait	ecosystem function	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
professor	panama	America	rivers	community eco	invertebrates	none	none	biological trait	ecosystem function	biological trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	costa rica	America	rivers	community eco	multiple	multifunctionality	functional trait	functional trait	ecosystem function	functional trait	functional trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
professor	chile	America	rivers	community eco	invertebrates	trophic	biological trait	structural measure	biological trait	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	colombia 	America	rivers	community eco	invertebrates	trophic	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	ecosystem function	ecosystem function	any	no	effect_response_traits	no
professor	ecuador 	America	rivers	community eco	invertebrates	trophic	biological trait	biological trait	functional trait	biological trait	biological trait	structural measure	ecosystem function	none	no	no	no
professor	usa	America	rivers	community eco	invertebrates	none	biological trait	biological trait	dont know	dont know	dont know	dont know	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	chile	America	rivers	community eco	invertebrates	multifunctionality	functional trait	biological trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	mexico	America	rivers	community eco	multiple	trophic	functional trait	functional trait	functional trait	ecosystem function	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	honduras	America	rivers	functional eco	invertebrates	none	biological trait	biological trait	functional trait	biological trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
professor	peru	America	wetlands	functional eco	invertebrates	none	ecosystem function	biological trait	functional trait	structural measure	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	japan	Asia	rivers	community eco	invertebrates	multifunctionality	functional trait	structural measure	functional trait	biological trait	structural measure	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	panama	America	rivers	community eco	invertebrates	trophic	biological trait	structural measure	dont know	dont know	dont know	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	ecuador 	America	wetlands	biogeochem	multiple	multifunctionality	none	biological trait	functional trait	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	ecuador 	America	rivers	community eco	invertebrates	multifunctionality	none	biological trait	ecosystem function	biological trait	structural measure	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	norway	Europe	rivers	ecohydrology	multiple	multifunctionality	ecosystem function	structural measure	biological trait	biological trait	functional trait	biological trait	ecosystem function	none	no	no	no
predoctoral	hungary	Europe	rivers	functional eco	microbes	none	functional trait	functional trait	functional trait	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	hard_soft_traits
professor	czech republic	Europe	lakes reservoirs	biogeochem	microbes	multifunctionality	functional trait	functional trait	dont know	biological trait	functional trait	dont know	dont know	none	no	no	no
professor	argentina	America	rivers	ecohydrology	riparian veg.	multifunctionality	functional trait	structural measure	biological trait	biological trait	biological trait	functional trait	ecosystem function	any	no	effect_response_traits	no
professor	colombia 	America	rivers	biogeochem	invertebrates	OM decomposition	ecosystem function	functional trait	ecosystem function	biological trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	germany	Europe	lakes reservoirs	community eco	none	trophic	functional trait	functional trait	dont know	biological trait	dont know	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	argentina	America	rivers	community eco	invertebrates	trophic	functional trait	functional trait	ecosystem function	ecosystem function	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	ecuador 	America	rivers	community eco	invertebrates	none	ecosystem function	ecosystem function	dont know	dont know	ecosystem function	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
professor	colombia 	America	rivers	community eco	invertebrates	multifunctionality	functional trait	functional trait	functional trait	structural measure	structural measure	structural measure	functional trait	none	no	no	no
senior researcher	ecuador 	America	rivers	community eco	invertebrates	multifunctionality	none	biological trait	functional trait	ecosystem function	structural measure	biological trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	colombia 	America	rivers	functional eco	invertebrates	multifunctionality	functional trait	structural measure	biological trait	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
predoctoral	costa rica	America	rivers	other	invertebrates	none	biological trait	biological trait	dont know	functional trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	argentina	America	rivers	community eco	multiple	none	none	structural measure	functional trait	biological trait	structural measure	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	usa	America	lakes reservoirs	community eco	microbes	multifunctionality	functional trait	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	none	no	no	no
professor	colombia 	America	rivers	community eco	invertebrates	none	functional trait	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	none	no	no	no
predoctoral	peru	America	lakes reservoirs	community eco	invertebrates	none	biological trait	structural measure	dont know	dont know	biological trait	dont know	dont know	any	biological_ecological_traits	no	no
professor	turkey	Asia	rivers	ecohydrology	none	nutrients cycle	none	biological trait	functional trait	structural measure	biological trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	mexico	America	rivers	ecohydrology	multiple	none	functional trait	functional trait	functional trait	biological trait	structural measure	biological trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	mexico	America	rivers	functional eco	multiple	multifunctionality	biological trait	structural measure	functional trait	functional trait	structural measure	functional trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	argentina	America	rivers	community eco	invertebrates	multifunctionality	none	biological trait	structural measure	dont know	biological trait	biological trait	biological trait	any	biological_ecological_traits	no	no
predoctoral	germany	Europe	rivers	functional eco	multiple	none	biological trait	structural measure	dont know	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
predoctoral	mexico	America	lakes reservoirs	other	microbes	multifunctionality	ecosystem function	dont know	dont know	ecosystem function	structural measure	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	mexico	America	rivers	community eco	invertebrates	none	none	structural measure	functional trait	biological trait	dont know	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	mexico	America	rivers	biogeochem	invertebrates	multifunctionality	ecosystem function	structural measure	ecosystem function	functional trait	structural measure	functional trait	ecosystem function	none	no	no	no
predoctoral	cuba	America	rivers	community eco	invertebrates	none	biological trait	biological trait	functional trait	dont know	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	brazil	America	lakes reservoirs	community eco	invertebrates	trophic	none	dont know	dont know	dont know	dont know	structural measure	dont know	none	no	no	no
predoctoral	peru	America	rivers	community eco	invertebrates	none	ecosystem function	dont know	functional trait	biological trait	structural measure	biological trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	colombia 	America	rivers	community eco	invertebrates	none	none	structural measure	ecosystem function	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	mexico	America	rivers	functional eco	multiple	multifunctionality	biological trait	structural measure	functional trait	functional trait	structural measure	functional trait	functional trait	any	biological_ecological_traits	no	no
senior researcher	colombia 	America	rivers	community eco	multiple	multifunctionality	none	dont know	dont know	dont know	dont know	dont know	dont know	none	no	no	no
predoctoral	panama	America	rivers	other	invertebrates	multifunctionality	biological trait	dont know	dont know	dont know	dont know	dont know	dont know	none	no	no	no
predoctoral	colombia 	America	rivers	functional eco	invertebrates	OM decomposition	none	structural measure	dont know	ecosystem function	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	mexico	America	wetlands	ecohydrology	multiple	multifunctionality	ecosystem function	structural measure	biological trait	functional trait	structural measure	functional trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	mexico	America	rivers	functional eco	multiple	multifunctionality	biological trait	structural measure	functional trait	functional trait	structural measure	functional trait	functional trait	any	biological_ecological_traits	no	no
ECR-postdoc	hungary	Europe	rivers	community eco	microbes	multifunctionality	functional trait	functional trait	ecosystem function	biological trait	functional trait	biological trait	ecosystem function	any	no	effect_response_traits	hard_soft_traits
ECR-postdoc	argentina	America	rivers	functional eco	invertebrates	OM decomposition	ecosystem function	structural measure	dont know	structural measure	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	portugal	Europe	rivers	community eco	invertebrates	multifunctionality	biological trait	biological trait	ecosystem function	functional trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	hungary	Europe	rivers	functional eco	multiple	trophic	functional trait	structural measure	ecosystem function	ecosystem function	biological trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
professor	colombia 	America	rivers	functional eco	invertebrates	multifunctionality	functional trait	functional trait	functional trait	functional trait	functional trait	structural measure	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	czech republic	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	italy	Europe	lakes reservoirs	community eco	invertebrates	none	biological trait	biological trait	functional trait	structural measure	structural measure	dont know	ecosystem function	any	biological_ecological_traits	no	no
professor	costa rica	America	rivers	community eco	invertebrates	none	none	structural measure	dont know	dont know	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	france	Europe	rivers	community eco	microbes	metabolism	biological trait	biological trait	functional trait	functional trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
professor	argentina	America	rivers	community eco	invertebrates	trophic	biological trait	biological trait	dont know	functional trait	biological trait	dont know	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	colombia 	America	rivers	community eco	invertebrates	multifunctionality	functional trait	biological trait	structural measure	biological trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	mexico	America	rivers	biogeochem	invertebrates	trophic	functional trait	biological trait	structural measure	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
predoctoral	na	America	wetlands	community eco	none	none	none	dont know	dont know	dont know	ecosystem function	dont know	dont know	none	no	no	no
senior researcher	spain	Europe	lakes reservoirs	other	microbes	multifunctionality	biological trait	biological trait	functional trait	structural measure	structural measure	structural measure	functional trait	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	hungary	Europe	rivers	community eco	vertebrates	none	biological trait	structural measure	biological trait	structural measure	biological trait	structural measure	structural measure	any	biological_ecological_traits	no	no
ECR-postdoc	brazil	America	rivers	community eco	multiple	multifunctionality	functional trait	structural measure	dont know	biological trait	dont know	dont know	ecosystem function	any	biological_ecological_traits	no	no
professor	uk	Europe	rivers	ecohydrology	invertebrates	none	none	biological trait	ecosystem function	dont know	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	czech republic	Europe	rivers	community eco	invertebrates	nutrients cycle	biological trait	biological trait	functional trait	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	czech republic	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	ecosystem function	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	czech republic	Europe	wetlands	community eco	invertebrates	none	biological trait	biological trait	functional trait	dont know	biological trait	functional trait	dont know	any	biological_ecological_traits	effect_response_traits	no
professor	austria	Europe	lakes reservoirs	biogeochem	microbes	nutrients cycle	ecosystem function	structural measure	functional trait	structural measure	dont know	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	austria	Europe	rivers	biogeochem	multiple	OM decomposition	biological trait	biological trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	spain	Europe	rivers	other	invertebrates	none	none	dont know	ecosystem function	structural measure	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	portugal	Europe	rivers	other	multiple	OM decomposition	functional trait	functional trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
professor	brazil	America	rivers	community eco	vertebrates	none	functional trait	functional trait	functional trait	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
professor	peru	America	rivers	community eco	invertebrates	trophic	biological trait	biological trait	structural measure	ecosystem function	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	czech republic	Europe	lakes reservoirs	biogeochem	none	nutrients cycle	none	functional trait	functional trait	functional trait	functional trait	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
senior researcher	colombia 	America	wetlands	functional eco	invertebrates	none	functional trait	biological trait	functional trait	ecosystem function	biological trait	functional trait	ecosystem function	none	no	no	no
predoctoral	france	Europe	rivers	community eco	microbes	none	none	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	germany	Europe	lakes reservoirs	community eco	macrophytes	trophic	none	dont know	ecosystem function	biological trait	biological trait	dont know	functional trait	none	no	no	no
ECR-postdoc	usa	America	lakes reservoirs	biogeochem	invertebrates	trophic	functional trait	functional trait	functional trait	biological trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	uk	Europe	rivers	community eco	invertebrates	none	functional trait	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	turkey	Asia	rivers	other	none	multifunctionality	ecosystem function	dont know	dont know	dont know	biological trait	dont know	structural measure	any	biological_ecological_traits	no	no
professor	north macedonia	Europe	rivers	community eco	riparian veg.	none	none	structural measure	functional trait	functional trait	structural measure	functional trait	ecosystem function	none	no	no	no
senior researcher	czech republic	Europe	rivers	functional eco	riparian veg.	multifunctionality	functional trait	structural measure	functional trait	biological trait	biological trait	functional trait	ecosystem function	any	no	effect_response_traits	hard_soft_traits
professor	portugal	Europe	rivers	ecohydrology	macrophytes	none	functional trait	functional trait	biological trait	functional trait	functional trait	biological trait	structural measure	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
predoctoral	turkey	Asia	rivers	ecohydrology	riparian veg.	multifunctionality	ecosystem function	structural measure	dont know	dont know	biological trait	dont know	dont know	any	biological_ecological_traits	no	no
ECR-postdoc	finland	Europe	rivers	community eco	multiple	OM decomposition	functional trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	serbia	Europe	other	community eco	riparian veg.	none	functional trait	biological trait	functional trait	biological trait	functional trait	functional trait	dont know	any	biological_ecological_traits	no	no
professor	ireland	Europe	rivers	biogeochem	invertebrates	multifunctionality	functional trait	biological trait	structural measure	biological trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
predoctoral	finland	Europe	rivers	community eco	multiple	OM decomposition	functional trait	biological trait	ecosystem function	dont know	biological trait	structural measure	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	usa	America	rivers	community eco	vertebrates	none	functional trait	biological trait	ecosystem function	ecosystem function	functional trait	functional trait	ecosystem function	any	no	effect_response_traits	no
